Glyma.01G091400	Glyma.01G091400	2098	2098	2098	1	2098	1	2098	1.0	1.0	1.0	1-2098	1-2098	2098
Glyma.01G091400	Glyma.02G130400	2098	2130	1287	101	2090	31	2077	0.613441372735939	0.604225352112676	0.6088333624243075	101-132,181-402,965-2030,2056-2090	31-63,122-343,977-2042,2043-2077	1010,214,32,31
Glyma.01G091400	Glyma.05G153200	2098	1682	1132	201	2081	218	1665	0.5395614871306006	0.6730083234244947	0.6062849052775476	201-386,977-1972,2050-2081	218-403,529-1524,1634-1665	927,176,29
Glyma.01G091400	Glyma.08G109500	2098	1670	1132	200	2082	117	1594	0.5395614871306006	0.6778443113772455	0.6087028992539231	200-385,977-1972,2050-2082	117-302,431-1426,1562-1594	927,174,31
Glyma.01G091400	Glyma.08G110340	2098	1288	1102	201	1969	1	1288	0.5252621544327931	0.8555900621118012	0.6904261082722971	201-386,968-1969	1-186,287-1288	925,177
Glyma.01G091400	Glyma.08G110420	2098	1633	1155	92	2077	7	1504	0.5505243088655862	0.7072872014696877	0.6289057551676369	92-118,201-386,977-1975,2050-2077	7-32,80-265,376-1374,1477-1504	926,179,25,25
Glyma.01G091400	Glyma.08G110460	2098	1643	1173	201	2085	71	1502	0.5591039084842707	0.7139379184418746	0.6365209134630727	201-386,977-1971,1999-2085	71-256,367-1361,1418-1502	924,172,77
Glyma.01G091400	Glyma.08G110500	2098	1589	1198	114	2074	18	1492	0.5710200190657769	0.7539332913782253	0.6624766552220012	114-146,201-386,968-1975,1999-2031,2045-2074	18-51,81-266,367-1374,1430-1461,1462-1492	931,178,32,27,30
Glyma.01G091400	Glyma.09G075200	2098	2099	1954	90	2098	10	2060	0.9313632030505243	0.9309194854692711	0.9311413442598977	90-2098	10-2060	1954
Glyma.01G228700	Glyma.01G228700	1926	1926	1926	1	1926	1	1926	1.0	1.0	1.0	1-1926	1-1926	1926
Glyma.01G228700	Glyma.11G011500	1926	2081	1370	81	1861	270	2077	0.711318795430945	0.6583373378183566	0.6848280666246508	81-271,634-1861	270-460,849-2077	1186,184
